Kinase_UniprotID,name,pathways,Database
P15692,VEGFA,RTK,SignaLink
P49765,VEGFB,RTK,SignaLink
P06756,ITGAV,RTK,SignaLink
P29353,SHC1,RTK|TCR|IIP,SignaLink
P62993,GRB2,TNF|RTK|IIP,SignaLink
P46108,CRK,RTK|TCR|IIP,SignaLink
P01127,PDGFB,RTK,SignaLink
P43405,SYK,BCR|TGF,SignaLink
P46109,CRKL,RTK|TCR|IIP,SignaLink
P35968,KDR,RTK,SignaLink
P05556,ITGB1,RTK,SignaLink
P29965,CD40LG,IIP,SignaLink
Q9BSJ2,TUBGCP2,RTK|TCR|IIP,SignaLink
P06239,LCK,RTK|TCR,SignaLink
Q9BSJ2,TUBGCP2,RTK|TCR,SignaLink
Q96CW5,TUBGCP3,RTK|TCR,SignaLink
Q96RT8,TUBGCP5,RTK|TCR,SignaLink
Q96RT7,TUBGCP6,RTK|TCR,SignaLink
P61160,ACTR2,TGF,SignaLink
P61158,ACTR3,TGF,SignaLink
O15144,ARPC2,TGF,SignaLink
P06729,CD2,TGF,SignaLink
P59998,ARPC4,TGF,SignaLink
O15145,ARPC3,TGF,SignaLink
P35579,MYH9,TGF,SignaLink
P05362,ICAM1,TGF,SignaLink
P49815,TSC2,WNT/Wingless|RTK,SignaLink
Q9BVC4,MLST8,RTK,SignaLink
P42345,MTOR,RTK,SignaLink
O95999,BCL10,BCR|TCR,SignaLink
P20963,CD247,TCR,SignaLink
P21333,FLNA,RTK|JAK/STAT,SignaLink
Q9BXL7,CARD11,BCR|TCR,SignaLink
O43561,LAT,TCR,SignaLink
Q8N122,RPTOR,RTK,SignaLink
P19174,PLCG1,RTK|TCR|JAK/STAT,SignaLink
Q06124,PTPN11,RTK|TCR|JAK/STAT,SignaLink
P49023,PXN,TCR|IIP,SignaLink
P15498,VAV1,BCR|RTK|TCR|IIP,SignaLink
O00161,SNAP23,TCR|IIP,SignaLink
Q15833,STXBP2,TCR|IIP,SignaLink
Q70J99,UNC13D,TCR|IIP,SignaLink
O43586,PSTPIP1,RTK|IIP,SignaLink
P29350,PTPN6,BCR|TCR|JAK/STAT,SignaLink
O95727,CRTAM,BCR|TCR|JAK/STAT,SignaLink
P42224,STAT1,TCR|NHR|TLR|RTK|JAK/STAT,SignaLink
P06241,FYN,BCR|RTK,SignaLink
Q8TDQ0,HAVCR2,BCR|RTK,SignaLink
Q9BPZ7,MAPKAP1,BCR|RTK,SignaLink
Q6R327,RICTOR,RTK,SignaLink
Q5JWF2,GNAS,RTK,SignaLink
P09326,CD48,RTK,SignaLink
P46937,YAP1,TGF,SignaLink
Q13485,SMAD4,RTK|TGF,SignaLink
Q9NYJ8,TAB2,JAK/STAT|RTK|TLR|IIP,SignaLink
P37173,TGFBR2,RTK|TGF,SignaLink
P14778,IL1R1,RTK|JAK/STAT,SignaLink
Q13158,FADD,TNF|RTK|TLR|IIP,SignaLink
Q13546,RIPK1,TNF|RTK|TLR|IIP,SignaLink
P01375,TNF,TNF|RTK|TLR|IIP,SignaLink
Q12933,TRAF2,TNF|JAK/STAT|RTK|IIP,SignaLink
P14174,MIF,TNF|JAK/STAT|RTK|IIP,SignaLink
O43318,MAP3K7,BCR|RTK|TGF|WNT/Wingless|TCR|TNF|IIP|TLR|JAK/STAT,SignaLink
P23458,JAK1,RTK|JAK/STAT,SignaLink
P00749,PLAU,RTK|JAK/STAT,SignaLink
Q15796,SMAD2,WNT/Wingless|RTK|TGF,SignaLink
P84022,SMAD3,WNT/Wingless|NHR|TGF|RTK,SignaLink
Q9NWZ3,IRAK4,TLR|JAK/STAT,SignaLink
Q99836,MYD88,TLR|JAK/STAT,SignaLink
Q9BYM8,RBCK1,TLR|JAK/STAT,SignaLink
Q96EP0,RNF31,TLR|JAK/STAT,SignaLink
P15018,LIF,JAK/STAT,SignaLink
P15260,IFNGR1,JAK/STAT,SignaLink
P01579,IFNG,JAK/STAT,SignaLink
O60674,JAK2,JAK/STAT|IIP,SignaLink
P11717,IGF2R,RTK,SignaLink
P29597,TYK2,JAK/STAT,SignaLink
P13498,CYBA,JAK/STAT,SignaLink
P48061,CXCL12,IIP,SignaLink
O75365,PTP4A3,IIP,SignaLink
P51668,UBE2D1,RTK|JAK/STAT,SignaLink
P37275,ZEB1,JAK/STAT|IIP,SignaLink
P01137,TGFB1,RTK|TGF,SignaLink
Q86Y01,DTX1,Notch,SignaLink
P46531,NOTCH1,WNT/Wingless|Notch,SignaLink
Q9NUP9,LIN7C,WNT/Wingless|Notch,SignaLink
P78504,JAG1,Notch,SignaLink
P36897,TGFBR1,RTK|TGF,SignaLink
P04049,RAF1,RTK|IIP,SignaLink
P01112,HRAS,BCR|RTK|IIP,SignaLink
P13612,ITGA4,BCR|RTK|IIP,SignaLink
Q9NRY4,ARHGAP35,RTK|IIP,SignaLink
P10415,BCL2,TNF|RTK,SignaLink
