TARGET_1,cell_line,LogFC,Kinase_group,group_kin
AKT1,A3KAW,0.863033,AGC,AGC_AKT1
AKT1,A4Fuk,-1.620762,AGC,AGC_AKT1
AKT1,DB,-0.393992,AGC,AGC_AKT1
AKT1,HT,-1.2042705,AGC,AGC_AKT1
AKT1,MC116,-0.68846,AGC,AGC_AKT1
AKT1,NUDUL1,-1.944266,AGC,AGC_AKT1
AKT1,SLVL,1.16957925,AGC,AGC_AKT1
AKT1,SUDHL16,-3.0358545,AGC,AGC_AKT1
AKT1,TK,0.261666,AGC,AGC_AKT1
AKT1,WSUDLCL2,-4.288248,AGC,AGC_AKT1
AURKA,A3KAW,-0.842886,CAMK,CAMK_AURKA
AURKA,A4Fuk,-1.2330015,CAMK,CAMK_AURKA
AURKA,DB,-0.356113,CAMK,CAMK_AURKA
AURKA,HT,1.333503,CAMK,CAMK_AURKA
AURKA,MC116,-0.7245875,CAMK,CAMK_AURKA
AURKA,NUDUL1,-1.9270465,CAMK,CAMK_AURKA
AURKA,SLVL,0.506256,CAMK,CAMK_AURKA
AURKA,SUDHL16,-3.063171,CAMK,CAMK_AURKA
AURKA,TK,0.1707445,CAMK,CAMK_AURKA
AURKA,WSUDLCL2,0.5412975,CAMK,CAMK_AURKA
CHEK1,A3KAW,-0.773548,CAMK,CAMK_CHEK1
CHEK1,A4Fuk,-1.057892,CAMK,CAMK_CHEK1
CHEK1,DB,-0.60737,CAMK,CAMK_CHEK1
CHEK1,HT,-0.567751,CAMK,CAMK_CHEK1
CHEK1,MC116,-0.2590085,CAMK,CAMK_CHEK1
CHEK1,NUDUL1,-2.34704,CAMK,CAMK_CHEK1
CHEK1,SLVL,-0.0590805,CAMK,CAMK_CHEK1
CHEK1,SUDHL16,-0.8630175,CAMK,CAMK_CHEK1
CHEK1,TK,-0.51419,CAMK,CAMK_CHEK1
CHEK1,WSUDLCL2,-0.4518665,CAMK,CAMK_CHEK1
CDK1,A3KAW,0.195425,CMGC,CMGC_CDK1
CDK1,A4Fuk,-0.718284,CMGC,CMGC_CDK1
CDK1,DB,-0.11288,CMGC,CMGC_CDK1
CDK1,HT,0.886144,CMGC,CMGC_CDK1
CDK1,MC116,-0.005962,CMGC,CMGC_CDK1
CDK1,NUDUL1,-0.370512,CMGC,CMGC_CDK1
CDK1,SLVL,0.095026,CMGC,CMGC_CDK1
CDK1,SUDHL16,-0.506022,CMGC,CMGC_CDK1
CDK1,TK,1.617208,CMGC,CMGC_CDK1
CDK1,WSUDLCL2,1.480041,CMGC,CMGC_CDK1
CDK2,A3KAW,-1.865513,CMGC,CMGC_CDK2
CDK2,A4Fuk,-2.391284,CMGC,CMGC_CDK2
CDK2,DB,-0.781289,CMGC,CMGC_CDK2
CDK2,HT,-0.669996,CMGC,CMGC_CDK2
CDK2,MC116,-0.832738,CMGC,CMGC_CDK2
CDK2,NUDUL1,-1.658,CMGC,CMGC_CDK2
CDK2,SLVL,-0.051766,CMGC,CMGC_CDK2
CDK2,SUDHL16,-2.009418,CMGC,CMGC_CDK2
CDK2,TK,-0.566112,CMGC,CMGC_CDK2
CDK2,WSUDLCL2,0.258097,CMGC,CMGC_CDK2
CDK4,A3KAW,-1.028937,CMGC,CMGC_CDK4
CDK4,A4Fuk,0.496967,CMGC,CMGC_CDK4
CDK4,DB,0.705717,CMGC,CMGC_CDK4
CDK4,HT,1.272401,CMGC,CMGC_CDK4
CDK4,MC116,1.171457,CMGC,CMGC_CDK4
CDK4,NUDUL1,0.182223,CMGC,CMGC_CDK4
CDK4,SLVL,NA,CMGC,CMGC_CDK4
CDK4,SUDHL16,0.041147,CMGC,CMGC_CDK4
CDK4,TK,NA,CMGC,CMGC_CDK4
CDK4,WSUDLCL2,0.069016,CMGC,CMGC_CDK4
CDK7,A3KAW,0.355033,CMGC,CMGC_CDK7
CDK7,A4Fuk,4.535861,CMGC,CMGC_CDK7
CDK7,DB,-0.246289,CMGC,CMGC_CDK7
CDK7,HT,0.493462,CMGC,CMGC_CDK7
CDK7,MC116,0.370435,CMGC,CMGC_CDK7
CDK7,NUDUL1,-1.629232,CMGC,CMGC_CDK7
CDK7,SLVL,-1.842691,CMGC,CMGC_CDK7
CDK7,SUDHL16,-0.188841,CMGC,CMGC_CDK7
CDK7,TK,1.974593,CMGC,CMGC_CDK7
CDK7,WSUDLCL2,1.962932,CMGC,CMGC_CDK7
CDK9,A3KAW,0.144407,CMGC,CMGC_CDK9
CDK9,A4Fuk,-2.617127,CMGC,CMGC_CDK9
CDK9,DB,0.513848,CMGC,CMGC_CDK9
CDK9,HT,1.17835,CMGC,CMGC_CDK9
CDK9,MC116,0.695514,CMGC,CMGC_CDK9
CDK9,NUDUL1,-0.429238,CMGC,CMGC_CDK9
CDK9,SLVL,-0.602401,CMGC,CMGC_CDK9
CDK9,SUDHL16,0.443249,CMGC,CMGC_CDK9
CDK9,TK,1.434655,CMGC,CMGC_CDK9
CDK9,WSUDLCL2,2.587104,CMGC,CMGC_CDK9
ROCK1,A3KAW,-1.8184905,AGC,AGC_ROCK1
ROCK1,A4Fuk,NA,AGC,AGC_ROCK1
ROCK1,DB,-1.742427,AGC,AGC_ROCK1
ROCK1,HT,-0.083356,AGC,AGC_ROCK1
ROCK1,MC116,-1.444345,AGC,AGC_ROCK1
ROCK1,NUDUL1,-1.450744,AGC,AGC_ROCK1
ROCK1,SLVL,NA,AGC,AGC_ROCK1
ROCK1,SUDHL16,-2.83354,AGC,AGC_ROCK1
ROCK1,TK,-0.9195625,AGC,AGC_ROCK1
ROCK1,WSUDLCL2,NA,AGC,AGC_ROCK1
DYRK1B,A3KAW,0.234419,CMGC,CMGC_DYRK1B
DYRK1B,A4Fuk,NA,CMGC,CMGC_DYRK1B
DYRK1B,DB,0.391444,CMGC,CMGC_DYRK1B
DYRK1B,HT,NA,CMGC,CMGC_DYRK1B
DYRK1B,MC116,0.934689,CMGC,CMGC_DYRK1B
DYRK1B,NUDUL1,NA,CMGC,CMGC_DYRK1B
DYRK1B,SLVL,NA,CMGC,CMGC_DYRK1B
DYRK1B,SUDHL16,0.308601,CMGC,CMGC_DYRK1B
DYRK1B,TK,NA,CMGC,CMGC_DYRK1B
DYRK1B,WSUDLCL2,-6.209991,CMGC,CMGC_DYRK1B
GSK3A,A3KAW,0.002991,CMGC,CMGC_GSK3A
